,split,seed,size,Precision,Recall,F1_score,Accuracy,AUC_ROC
130,balanced,7,1,0.7701933402784796,0.8119148936170211,0.7886032792715747,0.991996378451788,0.903913043478261
131,balanced,7,2,0.50714477033185,0.5595744680851066,0.5258491956749091,0.9812584880036216,0.7749999999999999
132,balanced,7,3,0.4674309229174208,0.5063297872340425,0.480031242154999,0.9789927569035765,0.7477989130434782
133,balanced,7,4,0.5137510140590904,0.5411702127659574,0.5223589379462427,0.9804753282028068,0.7655978260869565
134,balanced,7,5,0.4858021951280948,0.5127659574468085,0.4929818038930211,0.979266636487098,0.7510869565217391
135,balanced,7,6,0.5751982167065285,0.595159574468085,0.579135406880728,0.9827727478497056,0.793179347826087
136,balanced,7,7,0.5469822760221835,0.5770744680851063,0.555936540070602,0.9820031688546856,0.7839402173913045
137,balanced,7,8,0.552416107269217,0.5813297872340425,0.5601999163385423,0.9821842462652786,0.7861141304347826
138,balanced,7,9,0.7255547574988558,0.7413297872340427,0.7286865566518564,0.988992756903576,0.8678532608695653
139,balanced,7,10,0.6275527231899684,0.645531914893617,0.6320409362906907,0.9849162516976008,0.8189130434782609
140,fashion,7,1,0.1990772841911294,0.2959,0.2140454212825006,0.8591799999999999,0.6088333333333333
141,fashion,7,2,0.6272840152687259,0.6954,0.6507090692834627,0.93908,0.8307777777777778
142,fashion,7,3,0.6214979517290495,0.6841999999999999,0.6396365823741497,0.93684,0.8245555555555555
143,fashion,7,4,0.7440903558940086,0.8039,0.76886268518834,0.96078,0.8910555555555556
144,fashion,7,5,0.2967232109486631,0.3896,0.3112546837211815,0.8779199999999999,0.6608888888888889
145,fashion,7,6,0.6325553380389722,0.7032,0.6545803547426138,0.94064,0.8351111111111111
146,fashion,7,7,0.8466550878168866,0.8447999999999999,0.8450195127637926,0.96896,0.9137777777777778
147,fashion,7,8,0.744494079521543,0.7876000000000001,0.7594571157494333,0.95752,0.8819999999999999
148,fashion,7,9,0.7310753150811659,0.7771999999999999,0.7487157087569962,0.95544,0.8762222222222222
149,fashion,7,10,0.5884260636173472,0.6748,0.6177421911014105,0.93496,0.8193333333333334
150,digits,6,1,0.5121101431065774,0.598175,0.5287325449163642,0.919635,0.7767638888888888
151,digits,6,2,0.4111811938432457,0.498625,0.4252850739611329,0.8997249999999999,0.7214583333333333
152,digits,6,3,0.617999466409677,0.69615,0.6349240449792884,0.93923,0.8311944444444445
153,digits,6,4,0.9915837062786408,0.99155,0.9915471866404756,0.99831,0.9953055555555556
154,digits,6,5,0.9892334800809828,0.9892,0.989205269305588,0.9978399999999998,0.994
155,digits,6,6,0.8418406863323717,0.891925,0.8586517793949888,0.978385,0.9399583333333332
156,digits,6,7,0.7262239080504899,0.7935000000000001,0.7433661230134749,0.9587,0.8852777777777778
157,digits,6,8,0.9900244288900903,0.99,0.9900066344693274,0.998,0.9944444444444444
158,digits,6,9,0.8409997972120313,0.8915000000000001,0.8580714987983585,0.9783000000000002,0.9397222222222223
159,digits,6,10,0.9896628759732822,0.98965,0.9896522849600758,0.99793,0.99425
160,balanced,6,1,0.819170929401416,0.843404255319149,0.8285500126055706,0.9933363512901766,0.92
161,balanced,6,2,0.5364405884585174,0.5797872340425532,0.5517048227379022,0.9821186057039384,0.7853260869565217
162,balanced,6,3,0.4939789332330536,0.5392021276595744,0.5099468379880294,0.9803915799004072,0.764592391304348
163,balanced,6,4,0.4818267050373515,0.5235106382978724,0.4937029101834243,0.9797238569488458,0.7565760869565218
164,balanced,6,5,0.5397416860038008,0.5725531914893617,0.5467884408982301,0.9818107741059304,0.7816304347826084
165,balanced,6,6,0.6189078216809645,0.6395212765957448,0.6237816320892459,0.984660479855138,0.8158423913043478
166,balanced,6,7,0.5749212058437986,0.5904255319148937,0.576698366946215,0.9825712992304207,0.7907608695652175
167,balanced,6,8,0.6139938735822459,0.6284574468085106,0.6170187642696845,0.984189678587596,0.8101902173913043
168,balanced,6,9,0.6396792647524169,0.6577127659574469,0.6428019012981039,0.9854345857854232,0.8251358695652175
169,balanced,6,10,0.6696676308602012,0.6798936170212766,0.6696635044940883,0.9863784517881392,0.8364673913043478
170,fashion,6,1,0.5292970473408671,0.6232,0.557553017062303,0.92464,0.7906666666666666
171,fashion,6,2,0.2351675261202595,0.3532,0.2656525835860665,0.8706400000000001,0.6406666666666666
172,fashion,6,3,0.4776294281825164,0.5821000000000001,0.5050613908976456,0.91642,0.7678333333333334
173,fashion,6,4,0.2647497672117435,0.3796,0.2908432399144257,0.87592,0.6553333333333333
174,fashion,6,5,0.5832331938535662,0.6652,0.6121518161501907,0.93304,0.8139999999999998
175,fashion,6,6,0.3881277154529466,0.4728,0.4015939406321552,0.89456,0.707111111111111
176,fashion,6,7,0.8750657555161764,0.874,0.8740704557989867,0.9748,0.93
177,fashion,6,8,0.4447039942705895,0.5315000000000001,0.4621191565089567,0.9063,0.7397222222222222
178,fashion,6,9,0.7426378527317503,0.7863999999999999,0.7580858507486986,0.95728,0.8813333333333333
179,fashion,6,10,0.7172831714902251,0.7628999999999999,0.7338796469310477,0.95258,0.8682777777777778
180,digits,4,1,0.7250379540509729,0.7963250000000001,0.7444329574635477,0.959265,0.8868472222222221
181,digits,4,2,0.5141910222482989,0.5977499999999999,0.5295662378956744,0.91955,0.7765277777777777
182,digits,4,3,0.618523899585302,0.696225,0.6351551802590203,0.939245,0.8312361111111113
183,digits,4,4,0.6184661385485716,0.695725,0.6348634987955568,0.939145,0.8309583333333332
184,digits,4,5,0.8407178237875013,0.893075,0.8590316924954216,0.978615,0.940597222222222
